,soa0,soa1,luminance
0,-100,-100,0.345098
1,-100,-50,0.345098
2,-100,0,0.345098
3,-100,50,0.345098
4,-100,100,0.345098
5,-50,-100,0.345098
6,-50,-50,0.345098
7,-50,0,0.345098
8,-50,50,0.345098
9,-50,100,0.345098
10,0,-100,0.345098
11,0,-50,0.345098
12,0,0,0.345098
13,0,50,0.345098
14,0,100,0.345098
15,50,-100,0.345098
16,50,-50,0.345098
17,50,0,0.345098
18,50,50,0.345098
19,50,100,0.345098
20,100,-100,0.345098
21,100,-50,0.345098
22,100,0,0.345098
23,100,50,0.345098
24,100,100,0.345098
25,-100,-100,0.470588
26,-100,-50,0.470588
27,-100,0,0.470588
28,-100,50,0.470588
29,-100,100,0.470588
30,-50,-100,0.470588
31,-50,-50,0.470588
32,-50,0,0.470588
33,-50,50,0.470588
34,-50,100,0.470588
35,0,-100,0.470588
36,0,-50,0.470588
37,0,0,0.470588
38,0,50,0.470588
39,0,100,0.470588
40,50,-100,0.470588
41,50,-50,0.470588
42,50,0,0.470588
43,50,50,0.470588
44,50,100,0.470588
45,100,-100,0.470588
46,100,-50,0.470588
47,100,0,0.470588
48,100,50,0.470588
49,100,100,0.470588
50,-100,-100,0.596078
51,-100,-50,0.596078
52,-100,0,0.596078
53,-100,50,0.596078
54,-100,100,0.596078
55,-50,-100,0.596078
56,-50,-50,0.596078
57,-50,0,0.596078
58,-50,50,0.596078
59,-50,100,0.596078
60,0,-100,0.596078
61,0,-50,0.596078
62,0,0,0.596078
63,0,50,0.596078
64,0,100,0.596078
65,50,-100,0.596078
66,50,-50,0.596078
67,50,0,0.596078
68,50,50,0.596078
69,50,100,0.596078
70,100,-100,0.596078
71,100,-50,0.596078
72,100,0,0.596078
73,100,50,0.596078
74,100,100,0.596078
75,-100,-100,0.878431
76,-100,-50,0.878431
77,-100,0,0.878431
78,-100,50,0.878431
79,-100,100,0.878431
80,-50,-100,0.878431
81,-50,-50,0.878431
82,-50,0,0.878431
83,-50,50,0.878431
84,-50,100,0.878431
85,0,-100,0.878431
86,0,-50,0.878431
87,0,0,0.878431
88,0,50,0.878431
89,0,100,0.878431
90,50,-100,0.878431
91,50,-50,0.878431
92,50,0,0.878431
93,50,50,0.878431
94,50,100,0.878431
95,100,-100,0.878431
96,100,-50,0.878431
97,100,0,0.878431
98,100,50,0.878431
99,100,100,0.878431
